시도,연령별,인구수,남자인구수,여자인구수
대전광역시,66세,11026,5370,5656
대전광역시,67세,12072,5884,6188
대전광역시,68세,11642,5614,6028
대전광역시,69세,11442,5468,5974
대전광역시,70세,10781,5110,5671
대전광역시,71세,8598,4104,4494
대전광역시,72세,7888,3660,4228
대전광역시,73세,8320,3762,4558
대전광역시,74세,8117,3570,4547
대전광역시,75세,9997,4418,5579
대전광역시,76세,7958,3423,4535
대전광역시,77세,6350,2648,3702
대전광역시,78세,7015,2891,4124
대전광역시,79세,6220,2528,3692
대전광역시,80세,5578,2223,3355
대전광역시,81세,5112,1860,3252
대전광역시,82세,4616,1649,2967
대전광역시,83세,4061,1416,2645
대전광역시,84세,3482,1162,2320
대전광역시,85세,2988,944,2044
대전광역시,86세,2402,716,1686
대전광역시,87세,2086,581,1505
대전광역시,88세,1750,448,1302
대전광역시,89세,1527,399,1128
대전광역시,90세,1261,331,930
대전광역시,91세,770,192,578
대전광역시,92세,668,163,505
대전광역시,93세,491,109,382
대전광역시,94세,482,95,387
대전광역시,95세,309,68,241
대전광역시,96세,233,57,176
대전광역시,97세,147,29,118
대전광역시,98세,103,28,75
대전광역시,99세,77,11,66
대전광역시,100세 이상,314,79,235
울산광역시,계,1165132,599480,565652
울산광역시,0세,9047,4683,4364
울산광역시,1세,10758,5575,5183
울산광역시,2세,11527,5929,5598
울산광역시,3세,11460,5891,5569
울산광역시,4세,11265,5734,5531
울산광역시,5세,12398,6360,6038
울산광역시,6세,11857,6178,5679
울산광역시,7세,11670,6064,5606
울산광역시,8세,11066,5774,5292
울산광역시,9세,11393,5933,5460
울산광역시,10세,12027,6208,5819
울산광역시,11세,10622,5533,5089
울산광역시,12세,10351,5497,4854
울산광역시,13세,10966,5802,5164
울산광역시,14세,11625,6207,5418
울산광역시,15세,11468,6023,5445
울산광역시,16세,13471,7200,6271
울산광역시,17세,15529,8213,7316
울산광역시,18세,15357,8128,7229
울산광역시,19세,15478,8362,7116
울산광역시,20세,16343,8866,7477
울산광역시,21세,16580,9325,7255
울산광역시,22세,16926,9498,7428
울산광역시,23세,16491,9307,7184
울산광역시,24세,16162,9201,6961
울산광역시,25세,16122,9128,6994
울산광역시,26세,15905,8802,7103
울산광역시,27세,14201,8066,6135
울산광역시,28세,14313,7951,6362
울산광역시,29세,13923,7804,6119
울산광역시,30세,13675,7369,6306
울산광역시,31세,14041,7565,6476
울산광역시,32세,14683,7774,6909
울산광역시,33세,15268,8029,7239
울산광역시,34세,17386,8995,8391
울산광역시,35세,19465,10028,9437
울산광역시,36세,19909,10444,9465
울산광역시,37세,20145,10425,9720
울산광역시,38세,19533,10090,9443
울산광역시,39세,16960,9071,7889
울산광역시,40세,18137,9267,8870
울산광역시,41세,17222,8992,8230
울산광역시,42세,17868,8999,8869
울산광역시,43세,19283,9692,9591
울산광역시,44세,20231,10052,10179
울산광역시,45세,20446,10255,10191
울산광역시,46세,21828,10916,10912
울산광역시,47세,21627,10686,10941
울산광역시,48세,22168,11012,11156
울산광역시,49세,22885,11337,11548
울산광역시,50세,21814,10648,11166
울산광역시,51세,21102,11198,9904
울산광역시,52세,21870,11313,10557
울산광역시,53세,20598,10712,9886
울산광역시,54세,19334,10085,9249
울산광역시,55세,21487,11299,10188
울산광역시,56세,22316,11424,10892
울산광역시,57세,21549,10950,10599
울산광역시,58세,19681,10176,9505
울산광역시,59세,17891,9270,8621
울산광역시,60세,17104,8669,8435
울산광역시,61세,15370,7815,7555
울산광역시,62세,15415,7656,7759
울산광역시,63세,12627,6521,6106
울산광역시,64세,11280,5679,5601
울산광역시,65세,11403,5788,5615
울산광역시,66세,8799,4465,4334
울산광역시,67세,8637,4438,4199
울산광역시,68세,8184,4143,4041
울산광역시,69세,8165,4147,4018
울산광역시,70세,7490,3729,3761
울산광역시,71세,5520,2769,2751
울산광역시,72세,4710,2286,2424
울산광역시,73세,5259,2372,2887
울산광역시,74세,5300,2460,2840
울산광역시,75세,6056,2721,3335
울산광역시,76세,4494,1952,2542
울산광역시,77세,4102,1674,2428
울산광역시,78세,4037,1675,2362
울산광역시,79세,3476,1329,2147
